Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://nrega.nic.in/netnrega/home.aspx,http://www.nregs.net/nregsindia/,ACT-Fibernet,302.4,N
https://nrega.nic.in/netnrega/home.aspx,https://pfms.nic.in/static/nregaftosearch.aspx,ACT-Fibernet,310.4,N
https://nrega.nic.in/netnrega/home.aspx,http://cryptoplanet.in/WD_PROXKey.exe,ACT-Fibernet,24.6,Y
https://nrega.nic.in/netnrega/home.aspx,http://cryptoplanet.in/ProxKey%20User%20Manual.pdf,ACT-Fibernet,22.8,Y
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/fto/ftopending.aspx,ACT-Fibernet,12667.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/releases.htm,ACT-Fibernet,117.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Backup_file.aspx,ACT-Fibernet,1134.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/backupinfo.aspx,ACT-Fibernet,29.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/cbt.html,ACT-Fibernet,33.6,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://india.gov.in/,ACT-Fibernet,362.2,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://www.incometaxindia.gov.in/Pages/default.aspx/,ACT-Fibernet,883.4,N
https://nrega.nic.in/netnrega/home.aspx,http://digitalindia.gov.in/,ACT-Fibernet,6951.0,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://rural.nic.in/,ACT-Fibernet,2118.2,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://pmgsy.nic.in/,ACT-Fibernet,775.0,N
https://nrega.nic.in/netnrega/home.aspx,http://rural.nic.in/sites/right-information-act.asp,ACT-Fibernet,31.8,N
https://nrega.nic.in/netnrega/home.aspx,http://www.nic.in/,ACT-Fibernet,1847.4,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://www.usa.gov/,https://www.usa.gov/#content,ACT-Fibernet,2284.4,N
https://www.usa.gov/,https://www.usa.gov/,ACT-Fibernet,794.8,N
https://www.usa.gov/,https://www.usa.gov/espanol/,ACT-Fibernet,825.8,N
https://www.usa.gov/,https://www.usa.gov/phone,ACT-Fibernet,1463.4,N
https://www.usa.gov/,https://www.usa.gov/#tpcs,ACT-Fibernet,597.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,651.2,N
https://www.usa.gov/,https://www.usa.gov/flag,ACT-Fibernet,1110.6,N
https://www.usa.gov/,https://www.usa.gov/branches-of-government,ACT-Fibernet,1090.2,N
https://www.usa.gov/,https://www.usa.gov/budget,ACT-Fibernet,824.6,N
https://www.usa.gov/,https://www.usa.gov/statistics,ACT-Fibernet,564.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,651.4,N
https://www.usa.gov/,https://www.usa.gov/federal-agencies,ACT-Fibernet,716.0,N
